author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,text
1383848075953725440,2022-06-19 16:12:23+00:00,1538555301502369792,en,43,14,4,3,context https://t.co/8gyVkW6FTC
1333832396026880004,2022-06-17 15:24:34+00:00,1537818490366746627,tr,3437,164,26,588,"Bu sahne senaryo değil, gerçek. Boğazı düğümlendi, yutkunamadı, sesi titredi, gözleri doldu; Türk kadınlarının sesi oldu. Cesareti ilham versin. 
Birce Akalay'a kucak dolusu sevgiler ve tebrikler. 🖤👏

#Mezarlık https://t.co/p9dXeVS7Om"
1250263923573420033,2022-06-16 14:57:08+00:00,1537449199888871426,ja,12873,4268,648,8381,@masayoshih 動画で見るとより酷いです。 https://t.co/VUOGOhF1TV
286998245,2022-06-15 19:35:47+00:00,1537156937212645376,en,34051,5622,1072,13518,"A Walgreens employee killed his 17-year-old co-worker after she rejected his advances. 

She reported him to her manager and said he made her uncomfortable. When she asked to work more hours, however, the manager said she’d have to work with him

https://t.co/Pa4Fdc0iwL"
3422365383,2022-06-11 13:22:55+00:00,1535613552882552839,en,3,1,1,1,"One day I will write a thread about how I’ve been facing sexual harassment for two years from my colleague, then became the most hatred person at work after reporting it!!"
286998245,2022-06-10 16:19:08+00:00,1535295510524960768,en,198,20,13,123,"Ginni Thomas, the wife of Clarence Thomas, urged 29 GOP state lawmakers in Arizona — 27 more than previously known — to choose presidential electors to help overturn Trump's defeat https://t.co/tgi1TPvXT6"
1489820663573622786,2022-06-09 21:46:03+00:00,1535015391960915995,en,0,1,0,0,"⠀
⠀
⠀⠀⠀ ⠀⠀— !
Blushing.

She loves getting her head patted by other people.

It definitely makes her feel very special and all happy on the inside. https://t.co/RRSSJQOGKD"
16469116,2022-06-08 02:19:19+00:00,1534359387904557056,en,10,2,9,2,"“I Reported Sexual Harassment by My Boss. A Week Later, I Was Suspended,"" former Rochester Police Accountability Board executive director writes earlier today. https://t.co/9xDS7MIvO3"
1221201026855907336,2022-06-07 20:30:14+00:00,1534271536630222849,en,237,5,6,61,"It has been brought to my attention that this person has been not only targeting innocent artists in the Dragon Age community, they have been targeting TRANS artists specifically. This behaviour is absolutely foul beyond description and I urge you to block them immediately. https://t.co/OnDX6yE9Za"
1408306125657759744,2022-06-07 02:49:37+00:00,1534004625824747521,en,433,16,105,112,"About Epic Mynd

Read: https://t.co/rECZafg6wy"
735715789,2022-06-05 00:38:10+00:00,1533246769110298624,en,17848,356,0,801,"My mental health is at an all time low between everything online and behind the scenes. I've already been having trouble getting back to messages but it's going to continue -as besides being overwhelmingly busy, I'm going to be trying to spend much less time online. I'm sorry. ❤️"
1277277500029071361,2022-04-01 03:43:57+00:00,1509738311614537729,en,5653,699,70,2096,"// flag discourse sorry boys
since the last person that made this thread got attacked for not being a lesbian, here I am, a lesbo, making it. thread debunking claims of this flag being problematic !! I'm sick and tired of seeing my gay / mlm moots be attacked for using it. https://t.co/k1uQbGTyNz"
912116150,2022-05-24 11:43:19+00:00,1529065504928940037,en,6097,95,155,2695,"Honourable Chief Justice High Court, our houses are being raided without cause and in violation of law. Our workers are being kidnapped and their families harassed. The court has deferred hearing till tomorrow. Justice delayed is justice denied. https://t.co/CK5v5gcQ50"
14293310,2022-05-20 12:33:00+00:00,1527628455415889920,en,221,802,364,34,"Eliana Dockterman (@edockterman): It's time to forgive Hayden Christensen for the ""Star Wars"" prequels https://t.co/mDnQw5SpOz"
245917255,2022-05-17 16:31:03+00:00,1526601199314608128,en,12,2,1,5,"I think this is one thing that so many struggle with. I know I have at times. We try to make ourselves appealing to the broadest audience possible. But what are we really doing? Compromising ourselves, losing part of who we are? (A thread) https://t.co/qeOT1IFJ2u"
1167571688780787713,2022-05-02 04:05:08+00:00,1520977665288667137,en,3,1,0,0,"@horrorfan96z @BakAnime Yep. He's just going there to harass attendees, Wyatt and Vic, and dressing it up as righteous behaviour."
1511712573552574471,2022-05-03 15:26:19+00:00,1521511477533982720,en,0,1,1,0,I'm not saying what he's doing is okay. But I sure as hell wouldn't be nice if I had to deal with the shit he's dealing with all the time. Even if the other person is nice to me. We have limits and he's clearly reached his a long time ago but instead of just letting him be — https://t.co/EatSV80X7k
1222027197256351744,2022-05-02 06:54:04+00:00,1521020178372476928,en,547,342,34,215,"very rough trans / may contain inaccuracies

""i was the student who broke into the stage during gyeongbok high school festival. my thoughts were short/i didn't think much about it. i'm sorry. i'm sorry to aespa's fans, i'm sorry for causing a controversy"" https://t.co/gKaqiJvNzF"
343549833,2022-04-30 17:21:15+00:00,1520453240587907073,en,543,106,442,25,Any wrestling journalists wanna hit me up for a comment on being faced with online attacks and harassment from @LanceStorm and @KennyOmegamanX  fans?
1347464534731218945,2022-04-25 18:47:25+00:00,1518662983500529664,en,39,10,14,0,"@Kailiveshere @Freddy_mp3 hey bassicly what happened is that a lot of ranboos approaches to the poc community came off as white saviourism and other stuff of the sort, specially his behaviour during bhm and his use of the word cracker, and the way his one joke was to make fun of his whiteness"
1085001075495624705,2022-04-25 06:54:48+00:00,1518483647992672257,ja,54,1,1,23,"あなた方が媚びているのは日本の右翼であって、ウクライナが現在戦っているプーチンと同じ立場の人たちですけど本当にそれで大丈夫ですか？

https://t.co/hbrniCAdnL"
