created_at,id,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username
2021-02-27 12:33:34+00:00,1365641149583622148,Clifford Batteau,434,1027,6,33172,CliffordBatteau
2010-12-30 10:55:52+00:00,232148063,Tamara Džuver,1967,2135,0,19485,TamaraDzuver
2010-12-03 06:30:22+00:00,222371467,noriko sasaki,176,192,1,41354,norikosasali
2016-11-04 16:54:42+00:00,794583663040049152,slay,265,206,0,8024,yos_hi_elin
2022-01-16 17:55:52+00:00,1482773510762242049,theft king,3974,150,7,846,TheftKing2
2013-11-16 16:21:14+00:00,2183392149,Triptro,633,1894,2,19577,TriptroniQ
2009-10-08 05:08:28+00:00,80771474,Muffy Crosswire,233,432,4,54884,da_rILL_Nana
2020-04-11 19:17:46+00:00,1249053997337579520,☆,1445,1292,41,43502,MiraiNegi
2022-05-03 14:19:59+00:00,1521494626661810177,ChopShop_Gator🐊,240,367,0,5352,Chopshop_Gator
2020-08-28 17:32:18+00:00,1299399390604537858,Noire 🔥,1162,533,10,47429,Noire75161285
2014-07-20 19:05:58+00:00,2663852648,🌸 𝔸𝕝𝕡𝕙𝕒 𝕋𝕙𝕖 𝔽𝕒𝕝𝕝𝕖𝕟 𝔸𝕟𝕘𝕖𝕝 🌸,1267,668,32,37184,AlphaAngelicX
2020-08-10 19:43:03+00:00,1292909295936442369,kirbywarriors,42,64,0,1501,kirbywarriors
2018-04-15 01:07:46+00:00,985323765277057025,☆professional brainrot collector☆ ☆1312☆,358,3528,2,18600,BaituStudios
2021-06-04 19:12:44+00:00,1400893210264707072,ᜁᜇᜓᜌᜈ᜔ 🇵🇭🔞 | asawa ni kaeya ❄️,2885,343,10,15779,kaeriyannn
2020-11-04 18:40:26+00:00,1324058887763492866,Afrodyte Rose,34,233,0,136,AfrodyteR
2018-01-25 04:40:49+00:00,956386348956569601,Aunt PT / Functioning Mess 🏳️‍🌈,12446,2462,86,59445,pleasantlytwstd
2019-09-04 16:14:53+00:00,1169282627129487361,Sidra,2,111,0,443,SidzManzoor
2018-08-09 18:28:07+00:00,1027622569493450752,Dee Skywalker of House Organa 📚🎧💫,621,1205,7,34943,deemckennapdx
2021-12-11 20:35:35+00:00,1469767793772056581,ClutchBlonde,6010,4118,6,25551,ClutchBlonde
2022-04-19 01:41:03+00:00,1516230121643991040,★ STARIE ★,571,1128,4,3316,starzopawz
2022-01-14 21:45:05+00:00,1482106499904249861,︎︎ ︎︎ ︎,312,311,4,14989,JAEST4RR
2007-08-28 03:13:41+00:00,8477122,Emmett Initiative,38806,4323,195,52309,Emm_Initiative
2021-08-18 02:24:56+00:00,1427818721003855878,HIATUS,150,138,0,1554,flippingcoinss
2021-07-18 17:20:04+00:00,1416809960290209792,shane kwangya baddie,158,1082,0,22859,aemyhearts
2014-01-21 03:39:47+00:00,2302431314,HARU REN | #WeWantCards,430,225,7,6066,HaruRen364
2020-04-08 04:15:48+00:00,1247739804202045441,Alfie 🐷🎗💗,1118,873,0,5743,_alfiethehero_
2017-05-24 04:11:36+00:00,867231582632935425,onewkey☆,263,14,4,2511,onewkey420
2019-04-26 02:48:14+00:00,1121606885059248129,emily,58,172,0,132,emscram_
2020-11-09 18:30:43+00:00,1325868378871877633,⚓️,576,639,7,22173,satellitereps
2016-12-06 17:09:11+00:00,806183716926226436,Weekly World of Photography,3144,4544,22,270266,WeeklyComedy
2020-06-12 16:27:23+00:00,1271479172989218818,The Karma Circle,485,1033,2,31133,RazaAkira
2016-09-16 06:57:26+00:00,776676347770904576,lex c 🫧,1018,784,12,47986,dreamynunu
2022-04-06 03:07:15+00:00,1511540945854021632,Tord Bakken Friis,59,222,0,1113,tordbfriis
2020-12-08 06:53:37+00:00,1336202195931451395,Toxic Melonz🍈メロン 💖💛💙,1326,802,5,15968,SaggyMelonz
2021-04-04 00:22:07+00:00,1378503060893278212,alnomds 🖤 (he/they) 🏳️‍⚧️,862,526,0,8441,alnomds
2015-08-29 23:44:06+00:00,3386642412,Cʜᴇʀʀʏ Cᴏᴏᴋɪᴇ! 🍒,661,337,2,2873,queenofbombs
2018-05-11 09:41:04+00:00,994875023490985985,amber,130,500,0,35791,iamhereforlisa
2021-11-05 09:37:41+00:00,1456556195548860417,Teddy,267,330,1,14473,teddyliliM
2020-11-01 01:36:46+00:00,1322714127270207488,Rosacéwoo,279,882,1,26713,rosacea00
2021-01-13 03:28:18+00:00,1349196499708596225,lexy,2611,939,7,40337,arekushi14
