author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,text,withheld_copyright,withheld_country_codes
16374678,2021-05-01 04:53:15+00:00,1388355816470712320,en,200,8,5,88,Army investigation found slain soldier Vanessa Guillen's supervisor sexually harassed her https://t.co/oa1OpkL7WZ,,
967109046187823105,2021-04-29 10:48:09+00:00,1387720353758294016,en,2264,78,127,496,Why do conductors think its okay to touch women and force them into a matatu. I have been touched by 10 men today all forcing me into different matatus even after saying siendi rongai and the last one refused to let me go until I hit him. Do you know how disturbing that is.,,
2448168660,2021-04-27 04:25:37+00:00,1386899312009908224,en,13775,120,17,11381,She was 19 years old. She called an Uber to take her home because she thought it was her safest bet. She had just gotten to the USA three months ago so she could help her family out. She deserved so much more. #JusticeForYadhira #JusticiaParaYadhira #NiUnaMas https://t.co/qf4hUxRsZO,,
770781940341288960,2021-04-28 14:01:19+00:00,1387406575598546945,en,5464,121,821,1300,"🚨 ---&gt; Idaho Senate Passes Bill, Could Be 1st State Banning Critical Race Theory In Schools

Could become first state in nation to do so https://t.co/JtGEvymd3e",,
854766356637646848,2021-04-28 14:38:42+00:00,1387415984584241158,en,0,1,0,0,"@SmallHatJackal @Ryugan777 @MissMixi What the ever loving fuck are you going on about, this is about art theft, not spite",,
241083209,2021-04-27 17:24:17+00:00,1387095267678244864,en,578,42,38,278,"My ""should be"" boss told me today that he can't hire me because he is attracted to me. Not because I'm not qualified, not bcz I'm lacking but because he can't keep it in his pants. And now I have to pay the price for his lack of self control? I was stunned tbh, and it's total bs",,
735822237807333377,2021-04-27 19:22:25+00:00,1387124996431130631,en,26,6,0,11,don’t be polite to men who creep you out.,,
3343222966,2021-04-27 07:39:28+00:00,1386948091845255168,en,54145,398,419,9062,"If a girl suddenly acts like she knows you in public, just play along, she might be in danger.",,
125658949,2021-04-27 20:52:50+00:00,1387147750890872832,en,0,1,1,0,"@EbGood4 @CathyHayward7 And I think pity is an act of kindness. I hate that members of society belittle others, but I still pity them for not knowing better, and hope they will learn a better way rather than be forced to suppress their feelings until they are powerful enough to inspire something worse.",,
1347269127015161856,2021-04-27 17:25:35+00:00,1387095596377509894,en,314,26,28,79,"A #VTuber by the name of Zetsu is circulating a #smoltuber list of people in the community labeling them as pedophiles.

A few VTubers on the list have already spoken up.

#ENVTuber https://t.co/esxkl1sc5b",,
