created_at,id,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username
2009-03-20 17:22:20+00:00,25538545,Lupe LLerenas,2855,770,41,58705,LupeLLerenas
2020-10-05 02:35:39+00:00,1312944394765557761,Lady Patricia,1919,2555,4,8915,delurker13
2019-02-22 16:00:05+00:00,1098975723858087936,Unsavory lesbian,722,466,0,12352,_kith__
2019-08-13 01:54:07+00:00,1161093544058089472,REST_🐶May 🍉,332,246,6,27102,Watermelon_Ing
2011-06-20 23:11:53+00:00,321047579,Dianne LaFortune 🇨🇦 🇺🇦 😷,557,1431,11,20732,lafortdi
2018-06-07 03:40:03+00:00,1004568645257842688,mari✿⁷,439,1173,28,70776,jeonjkmoonie
2009-07-12 22:38:10+00:00,56212053,wanda #KAG!,1690,3555,12,149418,mskaro_2000
2010-10-09 21:47:31+00:00,200654891,Kennedy Henry,308,349,1,25540,kennedyahenry
2019-10-16 01:01:12+00:00,1184273003745558533,🔞『𝘋𝘪𝘯𝘨𝘰 𝘙𝘰𝘢𝘥𝘢𝘨𝘢𝘪𝘯.』(🎂:Sept 8th),2224,2649,64,54622,SmallHatJackal
2018-12-06 23:35:21+00:00,1070824044059070465,ADE,216,285,0,2939,simply_amay
2019-06-27 23:08:18+00:00,1144381971654676489,𝕶𝖆𝖌𝖎🧚🏽‍♀️,14824,1709,16,31920,KagisanoZa
2012-12-14 16:25:54+00:00,1011480529,yeehaw 𐚁,21690,2515,346,153714,mckellogs
2012-04-22 17:36:52+00:00,560458622,nicole⁷ 🃏 yoongi's wife (real),2237,1638,15,59134,jiminpoIIito
2017-02-26 21:54:55+00:00,835971430617661443,Ventus is reworking everything,288,579,0,10474,VTArgyle
2021-02-26 04:05:47+00:00,1365150975866982402,Kate Bishop💗💜💙💣🦈,941,378,0,33367,hawkeyesquared7
2020-06-23 13:36:22+00:00,1275422406941839361,sev ⚢,3715,1157,22,19242,theybian
2009-01-19 01:16:11+00:00,19165421,massive hater,1588,499,7,57842,sammyhavok
2013-06-02 03:27:50+00:00,1476275432,Grey,11760,632,10,11735,GreyAustinH
2020-07-10 08:13:42+00:00,1281501778949931011,Karolina,0,24,0,4,Karolin07352688
2018-03-25 15:29:20+00:00,977930438781034497,🥀,190,220,0,13102,missfatihahh
2017-04-30 18:22:30+00:00,858748407971577856,Psychopomp🦇Amelyssan(Scary☠️Era),10267,3551,9,79351,DoeSegenvonTyr
2017-08-03 16:54:22+00:00,893153079289360384,"SanZ Cipher, Russian supporting DPR and LPR 🖤💙❤️",657,1349,20,62628,BillSansCipher
2019-01-17 07:49:16+00:00,1085806243854245889,💛🌻💫,1565,796,2,51165,MissWeaponX
2016-12-18 12:15:01+00:00,810458343768727554,Fade Danger 🌶,3436,2603,1,21818,fadekeojora
2015-04-07 16:59:25+00:00,3144695998,Lukman Lasisi,219,492,0,3591,lasisilukman201
2021-03-26 22:39:40+00:00,1375577915832864775,abby.,563,867,6,23622,talossiannights
2020-12-03 06:43:01+00:00,1334387610681151488,َ,729,412,7,18715,jenyeoIfits
2009-08-03 13:43:58+00:00,62517344,😀🔪,724,342,2,50385,angpaobear
2020-07-20 18:32:36+00:00,1285281339403632641,cookies_n_cream🍪💛,75,215,0,21,kurly_friess
2009-06-20 23:50:55+00:00,49163530,OKAY,35,141,0,1727,oskeydoskey
2019-10-20 17:39:40+00:00,1185973818403090433,Malihahaha,67,81,0,503,TheBezaarSoul
2013-04-21 23:35:17+00:00,1370815141,kris.with.an.A,94,734,3,7568,KayDeeMoe
