author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,text
1417717758976876545,2022-03-30 01:59:10+00:00,1508987165635940354,en,98,2,2,9,Blinks gonna support them again and ignore all the slutshaming twt they throw at rosé 👏
1349196499708596225,2022-03-21 15:47:11+00:00,1505934049877012483,en,195,29,23,7,Just received this dm of aphorism's semen on a print out of me. how is you guys' day going? https://t.co/e00GdxjliL https://t.co/bmI0lBJ0Th
791069085454827520,2021-10-30 19:55:11+00:00,1454537387372122119,en,46373,1911,1728,9047,Just another day being a woman in the world! The amount of times that I deal with street harassment as a female journalist who works alone is exhausting. Notice how quickly this man got angry when I tried to *politely* dismiss him so I could DO MY JOB. https://t.co/jKsnQMfsIs
1440435793139408901,2021-10-03 05:33:08+00:00,1444535969718353922,en,1,1,1,0,@OutsidetheBoard @DonoraBeaveguti @ArrestCrooks @artofmmignola This is the user NomadicTrek from back in 2016. Bottom left. He is an old man. https://t.co/Gqv8CU37Xc
1440435793139408901,2021-10-21 22:16:02+00:00,1451311341168435211,en,0,0,1,0,"@ArrestCrooks @NomadicTrek @FBIDenver @FBI Well now that Brian has been confirmed to be deceased, will you apologize to NomadicTrek now??? Or do you STILL think it’s Brian communicating from beyond the veil?"
2713098134,2021-10-08 22:18:40+00:00,1446600960449593346,en,20918,241,77,3058,nO oNe wAnTs tO wOrK!1 https://t.co/X0asAIdCi5
2176796415,2021-08-31 09:04:17+00:00,1432630309439299587,zxx,2,1,2,0,https://t.co/6nLpjR6NgH
335996055,2021-08-26 14:57:43+00:00,1430907314043719683,en,23886,2632,4377,10859,"We can confirm that the explosion at the Abbey Gate was the result of a complex attack that resulted in a number of US &amp; civilian casualties. We can also confirm at least one other explosion at or near the Baron Hotel, a short distance from Abbey Gate. We will continue to update."
1313891556378775558,2021-07-08 13:27:22+00:00,1413127572947230726,en,10,3,7,0,someone of my friends are close friends with people who harassed me over kluc and I don't know how to feel about it. everytime I interact with them I see those people in their comments and I'm just like ... oh
1884835574,2021-04-01 10:52:18+00:00,1377574535537389571,en,6,1,0,0,"I relate to this a lot to this on a personal level and it's true. I sometimes think how it isn't fair what happened, but seeing a post like this reminds me that I did what I could when I was still willing to put up w/ their bs. Now, it's just foh. https://t.co/K9VIMaJyus"
347652108,2021-01-23 03:14:50+00:00,1352817037589045248,en,1665,2338,688,751,"Ladies, what is or was the worst response you have gotten from a man when you rejected his advances? Wether it was online or person."
