created_at,id,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username
2021-06-04 19:12:44+00:00,1400893210264707072,ᜁᜇᜓᜌᜈ᜔ 🇵🇭🔞 | asawa ni kaeya ❄️,2905,342,10,15610,kaeriyannn
2020-12-08 06:53:37+00:00,1336202195931451395,Toxic Melonz🍈メロン 💖💛💙,1311,804,5,15684,SaggyMelonz
2020-11-01 01:36:46+00:00,1322714127270207488,Rosacéwoo,274,885,1,26157,rosacea00
2021-01-13 03:28:18+00:00,1349196499708596225,lexy,2590,943,8,40301,arekushi14
2014-04-24 18:04:25+00:00,2462006298,David Prevatt,571,319,16,2004,DavidPrevatt2
2019-12-29 21:53:29+00:00,1211404797141602304,Retired Detective,328,43,0,649,ArrestCrooks
2015-09-15 23:33:46+00:00,3668861177,kobee,145,38,0,3497,KobeeQuinn
2013-11-11 10:43:23+00:00,2176796415,🍍Straw,1039,1013,1,10197,strawfurball
2017-07-15 12:33:59+00:00,886202178733568001,Senior Boobies,7196,6559,5,61148,SeniorBoobies
2021-07-19 21:58:37+00:00,1417242447306952709,♡°◌̊,442,368,2,11381,hautefiles
2020-10-07 17:19:06+00:00,1313891556378775558,cheri,1788,577,28,49569,Z3MBIE
2020-07-04 15:54:30+00:00,1279443352166039555,🌺AILEANA🌺,153,186,6,13260,gummyclown
2013-09-20 00:25:34+00:00,1884835574,Skyline @ XENOBLADE HYPE,258,213,4,40081,5ky1ine
2014-04-30 07:14:02+00:00,2470478870,Kennyo & Jakurai’s soulmate🖤💜🐺,492,1468,25,123657,JakuraisWife
2010-12-30 06:06:34+00:00,232084968,jæme 🐂🦎,520,496,1,137522,Jasmariiabia
