created_at,id,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username
2019-01-06 03:57:08+00:00,1081761556705300480,Alex Vary,53,69,1,642,WhalexVary
2018-01-11 07:22:13+00:00,951353538851950594,Crypto94 - Owner of Infinity Gainz,38372,2706,426,11851,CryptoExpert101
2009-03-11 20:08:53+00:00,23820011,Kate Hopkins,441,931,2,1869,katethegrape
2009-02-23 15:20:00+00:00,21659640,Farmer Jorflin Elscrot Scorbio🐛🍆,890,560,16,82629,mrgipson
2011-04-13 05:58:41+00:00,281388375,"Professional Human Person, GED",2582,1894,62,23556,jefftaylorhuman
2017-09-03 18:31:55+00:00,904411652778590209,Leanne Jones,520,553,1,6167,StepOutOfLan
2019-07-31 05:58:38+00:00,1156444035420233729,⩜⃝le,4782,1177,89,62790,yuyuplnet
2015-05-17 15:32:47+00:00,3212092602,Kind colored boy,551,534,1,4260,colebthecow
2015-12-23 10:43:27+00:00,4636806313,Mich🌒,2606,567,7,55305,UnrivaledPJM
2018-05-11 17:30:27+00:00,994993147896774656,J I M I N ¹³ 💙 With You 💙,2011,533,0,52429,jiminmochipower
2012-02-03 01:07:27+00:00,481649859,Dave,1001,374,12,35687,cognatico
2011-06-16 03:59:57+00:00,318210911,Denny Thompson,7117,810,72,13743,denny_thompson
2014-06-27 12:21:40+00:00,2591307505,le minion,146,117,2,8861,softbabyhands
2018-08-23 15:27:09+00:00,1032650456466694145,ً,522,616,22,34051,BINEOUL
2011-06-25 04:00:26+00:00,323618350,‘Ike Loa,311,385,8,37047,The_Jett15
2011-11-19 18:36:39+00:00,416463945,nês misses woodie,773,775,19,16066,dprdef_
2012-04-13 10:38:43+00:00,552676395,AkureCityHunter🇳🇬,9562,6940,2,40740,AkureCityHunter
2019-06-04 02:20:53+00:00,1135733127123484673,liv,263,356,2,5779,ayohangela
2012-02-23 22:48:12+00:00,501220156,Alex 🇯🇲🇺🇸,2970,2955,9,83588,TheRealAF_28
2018-04-29 04:50:36+00:00,990453273067859969,potato slug,3363,1154,12,83376,sluggityslug
2020-02-28 15:09:27+00:00,1233408800356491264,Pablo Mendez,27,80,0,238,pcmg32
2021-03-29 13:47:36+00:00,1376530843649286149,Phyoe,7,3,0,6721,PhyoeChoco
2009-09-22 05:40:09+00:00,76261109,Miya,369,631,2,35900,yenchaan
2017-12-16 06:17:34+00:00,941915182455910400,FrostyDFS.eth,2248,1865,25,13191,FrostyDFS
2020-01-04 04:11:21+00:00,1213311888068493312,🖤 Matt/V‼️,4080,177,7,27120,HopStepScrems
2018-08-27 17:32:01+00:00,1034131431512072192,@Tired_Curmudgeon on GAB @TiredCurmudgeon on GETTR,1137,262,8,22280,CurmudgeonTired
2016-01-12 22:55:01+00:00,4750191864,.,754,295,21,132222,mil_jaes
2019-12-22 22:05:13+00:00,1208871098181271552,AroMa,727,490,3,7188,Yea_itsmethough
2018-04-01 19:33:13+00:00,980528527425630209,"Noungah ""stoned doggy dog""",628,598,2,7552,NoungahTV
2011-05-08 04:36:25+00:00,294984113,ℹ️〽️AA©ULLATE,1649,965,5,51885,The1NOnly_Jmac
2018-11-08 20:38:20+00:00,1060632633753911304,fi,3108,1431,36,24321,peakycrows
2014-01-19 22:10:25+00:00,2292465028,M.,26339,5988,38,103940,prettygirlmaric
2018-11-08 02:36:50+00:00,1060360467519078403,Cameron Franklin,181,1671,0,54066,CameronF2018
2011-12-01 02:55:16+00:00,425509564,Mr. Kelly,1856,2634,11,21458,Mrkellysays
2016-01-23 00:16:29+00:00,4800463693,Dre,852,382,16,93557,DreLock__
2011-12-26 06:05:38+00:00,446829727,dracarys 🔥,2369,653,0,99233,daijahwest_
2010-08-13 17:15:22+00:00,178018221,flori 🥀,5283,881,36,124064,blesshailey
2009-06-23 03:49:42+00:00,49876024,nance,417,300,4,11168,positive_nancy
2009-05-19 02:33:50+00:00,41035489,Ming Chow,8100,501,243,39743,0xmchow
2020-04-12 21:04:38+00:00,1249443305969963010,💗,343,324,4,31472,Iovlia
2015-08-25 23:58:50+00:00,3441357856,John Ganz,30066,2136,338,59970,lionel_trolling
2012-08-14 15:10:51+00:00,757325918,Dylan,22,252,0,2925,QJSlamma
2015-12-19 20:03:58+00:00,4605982807,SageBrown,108,69,5,1246,Sagelight430
2016-10-07 20:46:52+00:00,784495228304494592,mar🍄,809,358,23,49921,xieslians
2011-07-15 15:58:43+00:00,336002320,🌊🌊panamafelix0412🇺🇸🇵🇦🌊🌊,4479,5000,9,132028,panamafelix0412
2011-10-25 20:36:27+00:00,398270830,hispanic hot zoe lepper,645,443,2,13020,zoe_mariiiee
2013-05-27 15:02:03+00:00,1462356805,thefatgirloffashion,2753,471,172,59614,FatGirl_fashion
2009-04-03 06:58:19+00:00,28520366,Cabron James,491,563,5,75071,SilkyJohnstamos
