author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,text
772874825048158209,2022-08-27 18:48:44+00:00,1563599410356838400,fa,8984,126,354,188,"امروز خبر مهاجرت یکی دیگه از مدیرای دیجی‌کالا واقعا غمگینم کرد؛ یک مدیر زن قدرتمند و واقعا الهام‌بخش.
بیشتر از ۱۰ مدیر ارشد ما در همین ۶ ماه اخیر مهاجرت کردند. و با رفتن هرکدوم چقدر ایده و برنامه بر زمین می‌مونه؛ استعدادهایی که برای ما جایگزین‌‌ناپذیرند و احتمالا برای کشور"
1518906493269155841,2022-08-27 14:43:14+00:00,1563537630460932097,fa,18155,19,117,820,کاش سایتای ایرانیم فیلتر کنن اینقد نیاز نباشه vpnخاموش کنیم .
1172115436483334145,2022-08-28 14:30:47+00:00,1563896882845319168,fa,816,26,52,22,ترکیب برنده فقط: دیزاینر با برنامه‌نویس. :) https://t.co/rgwqc0QTbA
906578736467779584,2022-08-28 23:49:48+00:00,1564037566055165952,fa,564,13,15,56,گیت vs ازدواج ایرانی vs ازدواج فرنگی https://t.co/zF36kaObvk
1422846801162297352,2022-08-28 09:37:41+00:00,1563823121119039488,fa,4295,77,270,100,"کبوتر با کبوتر
برنامه‌نویس با برنامه‌نویس :))))"
1431754544904540164,2022-08-26 16:18:05+00:00,1563199111163105281,en,53,4,1,14,Just an average day for these best buds https://t.co/2D8rHBqIzs
1150118866565173249,2022-08-26 20:31:04+00:00,1563262776021516289,fa,22,1,0,0,این خودعن‌تربینی بعضیا تو کامیونیتی تک واقعا رو مخه. باشه شما خفن‌ترین و باهوش‌ترین و کاردرست‌ترین از بقیه بکش بیرون. 🤦🏽‍♀️
546910536,2022-08-25 04:52:29+00:00,1562664187490316288,fa,3614,21,18,52,دانشجو کارشناسی vs دانشجو دکتری https://t.co/O5j9zQNQxu
872432022538645504,2022-08-26 09:50:05+00:00,1563101466092765189,fa,0,1,1,0,@_RealmOfDeath اگر دریافت مورفین ده دقیقه دیر شده حق داشته
121084673,2022-08-24 04:50:38+00:00,1562301332656193536,fa,7,2,3,0,دوس دارید سه سال دیگه تو چکاری پرفکت شید؟
45430792,2022-08-24 20:39:01+00:00,1562540002936254464,fa,2,1,3,0,"فرض کنید یه ترنزکشن دارید، در مود اتوکامیت. این ترنزکشن قبل از اجرا میخوره تیبل لاک شده، بعد از ۳۰ ثانیه شروع میکنه به کار کردن.
Now()
توش داریم. این فیلد تاریخ کی رو میزنه؟
قبل لاک؟ بعد لاک؟ https://t.co/5zhnZOZdNL"
1250514690947645441,2022-08-23 17:24:28+00:00,1562128653256990720,fa,57,4,0,20,"ثبت‌نام دوره جدید بوت‌کمپ جونیور فرانت‌اند دولوپر با منتوری @JavidIzadfar شروع شده و میتونید از همین الان ثبت‌نامتون رو انجام بدید.
برای مشاهده جزییات دوره و ثبت نام میتونید از لینک زیر استفاده کنید.

https://t.co/yuArpMDhXt https://t.co/Prz88GL4nY"
