created_at,id,name,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,username
2020-12-14 13:07:03+00:00,1338470511643385856,mohammad,85,270,0,1245,mohammad_53c1
2020-11-21 14:14:02+00:00,1330152464100814851,SinaParad0x - Dead due to Houseki no Kuni,169,1921,4,1927,SinaParad0x
2016-05-09 03:02:42+00:00,729506854620045312,آیس برگ,1118,429,2,7563,heyitsmepal
2015-01-13 20:51:52+00:00,2977137574,Nazim,412,552,0,6737,HikmetTabriz
2014-10-22 08:13:29+00:00,2841003995,فِریُفسکی,43,173,1,554,feriofski
2017-01-31 09:41:31+00:00,826364777245065216,🍏Seyyed the Frog🐸,103,593,1,335,s3yy3d
2019-07-13 19:04:40+00:00,1150118866565173249,مهشید 🐸,2083,778,0,13799,callmemahshid
2011-10-05 12:51:19+00:00,385401416,Cyrus Amirabadi,862,1486,29,18488,cyrusamirabadi
2009-06-17 10:26:02+00:00,47918373,گانتیه,655,857,0,4533,ganttier
2010-03-27 14:25:05+00:00,126944972,Amir,385,161,0,11241,Miir_ho3eIN
2009-06-07 21:45:18+00:00,45430792,Senaps,2071,577,0,61649,cenaps
2014-11-05 17:30:01+00:00,2890987224,کــوپـر مقــدس,4172,1997,27,103727,sajadcooper
2022-08-23 20:50:27+00:00,1562180413388472320,دژانگو نویس,23,164,0,27,seyedmm044
2018-08-29 18:31:14+00:00,1034871111677300737,#Aashkan,2468,4944,26,5574,_AashkanK
2013-01-26 16:25:28+00:00,1122480248,Javid Izadfar,3113,1054,18,17077,JavidIzadfar
2022-07-10 05:30:53+00:00,1546003944048132096,اسکوانچی,100,393,1,666,squanchy_1
2014-03-08 22:11:26+00:00,2379380833,خلواش,134,317,3,5269,parinazZzSt
2016-03-21 07:05:00+00:00,711810827834298368,Nathan Drake,1233,488,1,11643,ieklikegoddo
2009-10-29 10:50:26+00:00,86039811,Reza Moallemi,8022,415,50,24208,moallemi
2014-05-21 11:10:11+00:00,2512274610,Sajjad Esbati,107,296,0,40,Sajjadesbati
2019-07-19 19:04:20+00:00,1152293110212263937,Nobody,6586,1128,35,28668,SamadiPour
2013-02-22 15:59:01+00:00,1209051313,پاتريشا,697,389,6,10759,PatrishaBano
2018-07-20 18:59:47+00:00,1020382779790458882,Jafarzadehpour,628,390,0,1299,jafarzadehpour_
2019-06-08 12:00:05+00:00,1137328438870757376,Amenival,2429,705,8,17010,realAmenival
2022-08-08 16:22:52+00:00,1556677250770210816,Mmdreza,67,121,0,1003,imsayari9
2018-08-07 18:32:28+00:00,1026898886139494402,scooti,86,118,0,4357,scooti93
2009-05-07 06:40:51+00:00,38385927,me@narimangharib.com,93989,3353,392,82796,NarimanGharib
2022-04-23 19:56:44+00:00,1517955614093168642,M.Saeed,209,232,0,1250,Msapal7
2010-08-17 04:00:48+00:00,179377948,Milad,94,280,0,1230,miladkiaei
2017-08-17 11:54:02+00:00,898150925054947329,فرا,99,188,0,13712,f_frn7
2022-04-21 08:27:01+00:00,1517057200442781699,Product Manager,17,75,1,56,Junior_pm_
2021-02-20 05:04:03+00:00,1362991288161820674,Paydar 🐸,289,1158,9,3999,paayydaarr
2020-09-01 06:45:20+00:00,1300686064646942727,Rebecca,1809,432,7,34546,Sharlot_bronthe
2020-05-25 15:48:00+00:00,1264946173560963073,2fun,284,525,0,2913,tcpnerd
2012-01-11 17:41:28+00:00,461320226,amir0.eth,6687,2943,94,25268,amir_habibzadeh
2022-06-13 05:32:41+00:00,1536219884996157440,Ayub,92,31,1,419,kokabi1365
2018-10-11 16:15:27+00:00,1050419617930379264,Dream,63,125,0,4106,float_92
2011-08-10 20:42:56+00:00,352586379,Ali Samaiee,523,349,2,4488,alisamaiee
2013-10-23 05:32:05+00:00,2150300630,Ali Behzadian Nejad,1304,936,21,6023,BehzadianAli
2013-06-15 09:37:54+00:00,1518923052,Gorilla.js,2551,901,26,16034,nainemom
2021-08-29 12:31:42+00:00,1431957417273839617,0xfarshad.Eth,512,3587,17,835,far6ad_crypto
2009-06-25 11:20:14+00:00,50618293,سزارسامان,884,267,4,44151,CesareSaman
2018-05-13 18:51:49+00:00,995738398953558016,Hossein,441,177,2,32661,_mars806
2021-10-21 16:25:28+00:00,1451223080521641989,ارمغان,161,169,0,1371,itsArmaghan
2022-07-01 08:07:06+00:00,1542781739604779008,qzl,55,23,0,720,itsqzlrm
2015-05-04 10:26:35+00:00,3233035323,⁉️,159,203,1,10256,Alirezanikkhah7
2010-08-18 23:50:57+00:00,180160019,Khashayar Jan,191,212,0,3978,KhashayarJan
2022-06-12 09:34:20+00:00,1535918352857649153,Senior Crypto🔺,1159,47,9,377,30niorcrypto
2010-12-09 13:53:38+00:00,224635989,Amirreza Kimiyaei,1009,275,11,22667,amirrezakm
2020-12-31 08:00:16+00:00,1344553645824761857,Mehdi,859,47,10,1406,Enigmahdic
2012-12-02 17:55:51+00:00,985095667,!maybe_developer,394,605,1,1501,maybeDeveloper_
2014-01-11 07:49:52+00:00,2286278473,Sina Golizade 🤖,493,298,1,5858,sina_developer
2018-02-18 13:40:15+00:00,965219411136217089,Amir Motahari,138,123,2,983,A_Mthri
